"No","MatchedAgainst","Category","MatchType","AdvisoryID","Title","Severity","CVSS","Published","CVEs","MatchedFixVersions","MatchedRowsDetail","PossibleBundleRowsDetail","Link","CveLookupInfo"
"40","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA37513","VMSA-2026-0004: VMware Cloud Foundation Operations updates address multiple vulnerabilities (CVE-2026-41722, CVE-2026-41723 and CVE-2026-41724)","HIGH","8.0","08 June 2026","CVE-2026-41722; CVE-2026-41723; CVE-2026-41724","","VMware Cloud Foundation VMware vSphere Foundation (VMware Cloud Foundation Operations) | 9.1.x.x | Any | CVE-2026-41722, CVE-2026-41723 | 8.0, 8.0 | Important | 9.1.0.0 | None | None <br> VMware Cloud Foundation VMware vSphere Foundation (VMware Cloud Foundation Operations) | 9.0.x.x | Any | CVE-2026-41722, CVE-2026-41723 | 8.0, 8.0 | Important | 9.0.2.0 EP2 | None | None <br> VMware Cloud Foundation (VMware Aria Operations) | 5.x | Any | CVE-2026-41722, CVE-2026-41723, CVE-2026-41724 | 8.0, 8.0, 8.0 | Important | 8.18.7 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/37513",""
"41","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA36947","VMSA-2026-0001: VMware Aria Operations updates address multiple vulnerabilities (CVE-2026-22719, CVE-2026-22720 and CVE-2026-22721)","HIGH","6.2 - 8.1","24 February 2026","CVE-2026-22719; CVE-2026-22720; CVE-2026-22721","","VMware Cloud Foundation VMware vSphere Foundation (VMware Cloud Foundation Operations) | 9.x.x.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | 9.0.2.0 | KB430349(CVE-2026-22719) | None <br> VMware Cloud Foundation (VMware Aria Operations) | 5.x, 4.x | Any | CVE-2026-22719, CVE-2026-22720, CVE-2026-22721 | 8.1, 8.0, 6.2 | Important | 8.18.6 | KB430349(CVE-2026-22719) | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36947",""
"42","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA36150","VMSA-2025-0016: VMware vCenter and NSX updates address multiple vulnerabilities (CVE-2025-41250, CVE-2025-41251, CVE-2025-41252)","HIGH","7.5-8.5","29 September 2025","CVE-2025-41250; CVE-2025-41251; CVE-2025-41252","","VMware Cloud Foundation, VMware vSphere Foundation (vCenter) | 9.x.x.x | Any | CVE-2025-41250 | 8.5 | Important | 9.0.1.0 | None | None <br> VMware Cloud Foundation (vCenter) | 5.x | Any | CVE-2025-41250 | 8.5 | Important | 5.2.2 | None | Async Patching Guide: KB88287 <br> VMware Cloud Foundation, VMware vSphere Foundation (VMware NSX) | 9.x.x.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | 9.0.1.0 | None | None <br> VMware Cloud Foundation (VMware NSX) | 5.x | Any | CVE-2025-41251, CVE-2025-41252 | 8.1, 7.5 | Important | KB88287 | None | Async Patching Guide: KB88287","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36150",""
"43","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA36149","VMSA-2025-0015: VMware Aria Operations and VMware Tools updates address multiple vulnerabilities (CVE-2025-41244,CVE-2025-41245, CVE-2025-41246)","HIGH","4.9 -7.8","29 September 2025","CVE-2025-41244; CVE-2025-41245; CVE-2025-41246","","VMware Cloud Foundation VMware vSphere Foundation (VMware Cloud Foundation Operations) | 9.x.x.x | Any | CVE-2025-41244 | 7.8 | Important | 9.0.1.0 | None | None <br> VMware Cloud Foundation (VMware Aria Operations) | 5.x, 4.x | Any | CVE-2025-41244, CVE-2025-41245 | 7.8, 4.9 | Important | KB92148 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/36149",""
"44","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA35964","VMSA-2025-0014: VMware vCenter updates address a denial-of-service vulnerability (CVE-2025-41241)","MEDIUM","4.4","29 July 2025","CVE-2025-41241CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241 CVE-2025-41241","","VMware Cloud Foundation, VMware vSphere Foundation (vCenter) | 9.0.0.0 | Any | CVE-2025-41241 |  |  | N/A | N/A | Unaffected <br> VMware Cloud Foundation | 5.x | Any | CVE-2025-41241 | 4.4 | Moderate | Async patch to 8.0 U3g | None | Async Patching Guide: KB88287","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/35964",""
"45","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA35877","VMSA-2025-0013: VMware ESXi, Workstation, Fusion, and Tools updates address multiple vulnerabilities (CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239)","CRITICAL","6.2-9.3","15 July 2025","CVE-2025-41236; CVE-2025-41237; CVE-2025-41238; CVE-2025-41239","","VMware Cloud Foundation, VMware vSphere Foundation (ESX) | 9.0.0.0 | Any | CVE-2025-41236, CVE-2025-41238, CVE-2025-41239 |  |  | N/A | N/A | Unaffected <br> VMware Cloud Foundation | 5.x | Any | CVE-2025-41236, CVE-2025-41237, CVE-2025-41238, CVE-2025-41239 | 9.3, 8.4, 7.4, 7.1 | Critical | Async patch to ESXi80U3f-24784735 | None | Async Patching Guide: KB88287","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/35877",""
"46","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA25738","VMSA-2025-0012: VMware NSX updates address multiple vulnerabilities (CVE-2025-22243, CVE-2025-22244, CVE-2025-22245)","HIGH","5.9-7.5","04 June 2025","CVE-2025-22243; CVE-2025-22244; CVE-2025-22245","","VMware Cloud Foundation | 5.2.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | Async patch to NSX 4.2.2.1 | None | Async Patching Guide: KB88287 <br> VMware Cloud Foundation | 5.1.x, 5.0.x | Any | CVE-2025-22243, CVE-2025-22244, CVE-2025-22245 | 7.5, 6.9, 5.9 | Important | Async patch to NSX 4.1.2.6 | None | Async Patching Guide: KB88287","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25738",""
"47","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA25717","VMSA-2025-0010 : VMware ESXi, vCenter Server, Workstation, and Fusion updates address multiple vulnerabilities (CVE-2025-41225, CVE-2025-41226, CVE-2025-41227, CVE-2025-41228)","HIGH","4.3-8.8","20 May 2025","CVE-2025-41225; CVE-2025-41226; CVE-2025-41227; CVE-2025-41228","","VMware Cloud Foundation (vCenter) | 5.x | Any | CVE-2025-41225, CVE-2025-41228 | 8.8, 4.3 | Important | Async patch to 8.0 U3e | None | Async Patching Guide: KB88287 <br> VMware Cloud Foundation (ESXi) | 5.x | Any | CVE-2025-41226, CVE-2025-41227, CVE-2025-41228 | 6.8, 5.5, 4.3 | Moderate | Async patch to ESXi80U3se-24659227 | None | Async Patching Guide: KB88287","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25717",""
"48","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA25733","VMSA-2025-0009 : VMware Cloud Foundation updates address multiple vulnerabilities (CVE-2025-41229, CVE-2025-41230, CVE-2025-41231)","HIGH","7.3-8.2","20 May 2025","CVE-2025-41229; CVE-2025-41230; CVE-2025-41231","","VMware Cloud Foundation | 5.x | Any | CVE-2025-41229, CVE-2025-41230, CVE-2025-41231 | 8.2, 7.5, 7.3 | Important | 5.2.1.2 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25733",""
"49","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA25711","VMSA-2025-0008: VMware Aria automation updates address a DOM based Cross-site scripting vulnerability (CVE-2025-22249)","HIGH","8.2","12 May 2025","CVE-2025-22249CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249 CVE-2025-22249","","VMware Cloud Foundation | 5.x, 4.x | Any | CVE-2025-22249 | 8.2 | Important | KB394224 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25711",""
"50","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA25541","VMSA-2025-0006: VMware Aria Operations updates address a local privilege escalation vulnerability (CVE-2025-22231)","HIGH","7.8","01 April 2025","CVE-2025-22231CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231 CVE-2025-22231","","VMware Cloud Foundation | 5.x,4.x | Any | CVE-2025-22231 | 7.8 | Important | KB article | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25541",""
"51","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA25390","VMSA-2025-0004: VMware ESXi, Workstation, and Fusion updates address multiple vulnerabilities (CVE-2025-22224, CVE-2025-22225, CVE-2025-22226)","CRITICAL","7.1-9.3","04 March 2025","CVE-2025-22224; CVE-2025-22225; CVE-2025-22226; CVE-2024-38814","","VMware Cloud Foundation | 5.x | Any | CVE-2025-22224, CVE-2025-22225, CVE-2025-22226 | 9.3, 8.2, 7.1 | Critical | Async patch to ESXi80U3d-24585383 | None | Async Patching Guide: KB88287","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25390",""
"52","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA25329","VMSA-2025-0003: VMware Aria Operations for Logs and VMware Aria Operations updates address multiple vulnerabilities (CVE-2025-22218, CVE-2025-22219, CVE-2025-22220, CVE-2025-22221 and CVE-2025-22222)","HIGH","5.2-8.5","30 January 2025","CVE-2025-22218; CVE-2025-22219; CVE-2025-22220; CVE-2025-22221; CVE-2025-22222","","VMware Cloud Foundation | 5.x, 4.x | Any | CVE-2025-22218,  CVE-2025-22219,  CVE-2025-22220,  CVE-2025-22221, CVE-2025-22222 | 8.5, 6.8, 4.3, 5.2, 7.7 | Important | KB92148 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25329",""
"53","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA25312","VMSA-2025-0001: VMware Aria automation update addresses a server side request forgery vulnerability (CVE-2025-22215)","MEDIUM","4.3","07 January 2025","CVE-2025-22215CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215 CVE-2025-22215","","VMware Cloud Foundation | 5.x, 4.x | Any | CVE-2025-22215 | 4.3 | Moderate | KB 385294 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25312",""
"54","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA25199","VMSA-2024-0022: VMware Aria Operations updates address multiple vulnerabilities(CVE-2024-38830, CVE-2024-38831, CVE-2024-38832, CVE-2024-38833, CVE-2024-38834)","HIGH","6.5-7.8","26 November 2024","CVE-2024-38830; CVE-2024-38831; CVE-2024-38832; CVE-2024-38833; CVE-2024-38834","","VMware Cloud Foundation (VMware Aria Operations) | 5.x | Any | CVE-2024-38830, CVE-2024-38831, CVE-2024-38832,CVE-2024-38833, CVE-2024-38834 | 7.8 , 7.8, 7.1, 6.8, 6.5 | Important | 8.18.2 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25199",""
"55","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA25047","VMSA-2024-0020:VMware NSX updates address multiple vulnerabilities (CVE-2024-38818, CVE-2024-38817, CVE-2024-38815)","MEDIUM","4.3-6.7","09 October 2024","CVE-2024-38818; CVE-2024-38817; CVE-2024-38815","","Cloud Foundation (NSX) | 5.x | Any | CVE-2024-38817 | 6.7 | Moderate | Async Patch to 4.2.1 | None | Async Patching Guide: KB88287 <br> Cloud Foundation (NSX) | 5.x | Any | CVE-2024-38818, CVE-2024-38815 | 6.7, 4.3 | Moderate | Async Patch to 4.2.1 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/25047",""
"56","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA24968","VMSA-2024-0019:VMware vCenter Server updates address heap-overflow and privilege escalation vulnerabilities (CVE-2024-38812, CVE-2024-38813)","CRITICAL","7.5-9.8","17 September 2024","CVE-2024-38812; CVE-2024-38813","","VMware Cloud Foundation | 5.x | Any | CVE-2024-38812, CVE-2024-38813 | 9.8, 7.5 | Critical | Async patch to 8.0 U3d  [1] | None | Async Patching Guide: KB88287 <br> VMware Cloud Foundation | 5.1.x | Any | CVE-2024-38812, CVE-2024-38813 | 9.8, 7.5 | Critical | Async patch to 8.0 U2e | None | Async Patching Guide: KB88287","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/24968",""
"57","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA24598","VMSA-2024-0017: VMware Aria Automation updates address SQL-injection vulnerability (CVE-2024-22280)","HIGH","8.5","10 July 2024","CVE-2024-22280CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280 CVE-2024-22280","","VMware Cloud Foundation | 5.x, 4.x | Any | CVE-2024-22280 | 8.5 | Important | KB325790 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/24598",""
"58","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA24505","VMSA-2024-0013:VMware ESXi and vCenter Server updates address multiple security vulnerabilities (CVE-2024-37085, CVE-2024-37086, CVE-2024-37087)","MEDIUM","5.3-6.8","25 June 2024","CVE-2024-37085; CVE-2024-37086; CVE-2024-37087","","VMware Cloud Foundation | 5.x | Any | CVE-2024-37085 | 6.8 | Moderate | 5.2 | KB369707 | None <br> VMware Cloud Foundation | 5.x | Any | CVE-2024-37086 | 6.8 | Moderate | 5.2 | None | None <br> VMware Cloud Foundation | 5.x | Any | CVE-2024-37087 | 5.3 | Moderate | 5.2 | None | None","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/24505",""
"59","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA24453","VMSA-2024-0012:VMware vCenter Server updates address heap-overflow and privilege escalation vulnerabilities (CVE-2024-37079, CVE-2024-37080, CVE-2024-37081)","CRITICAL","7.8-9.8","18 June 2024","CVE-2024-37079; CVE-2024-37080; CVE-2024-37081","","Cloud Foundation (vCenter Server) | 5.x | Any | CVE-2024-37079, CVE-2024-37080, CVE-2024-37081 | 9.8, 9.8, 7.8 | Critical | KB88287 | None | FAQ","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/24453",""
"60","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA24308","VMSA-2024-0011:VMware ESXi, Workstation, Fusion and vCenter Server updates address multiple security vulnerabilities (CVE-2024-22273, CVE-2024-22274, CVE-2024-22275)","HIGH","4.9-8.1","21 May 2024","CVE-2024-22273; CVE-2024-22274; CVE-2024-22275","","Cloud Foundation (ESXi) | 5.x | Any | CVE-2024-22273 | 7.4 | Important | 5.1.1 | None | KB88287 <br> Cloud Foundation (vCenter Server) | 5.x | Any | CVE-2024-22274, CVE-2024-22275 | 7.2, 4.9 | Important | 5.1.1 | None | KB88287","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/24308",""
"61","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA24266","VMSA-2024-0006:VMware ESXi, Workstation, and Fusion updates address multiple security vulnerabilities (CVE-2024-22252, CVE-2024-22253, CVE-2024-22254, CVE-2024-22255)","CRITICAL","7.1-9.3","08 May 2024","CVE-2024-22252; CVE-2024-22253; CVE-2024-22254; CVE-2024-22255","","Cloud Foundation (ESXi) | 5.x/4.x | Any | CVE-2024-22252, CVE-2024-22253, CVE-2024-22254, CVE-2024-22255 | 8.4, 8.4, 7.9, 7.1 | critical | KB88287 | KB96682 | FAQ","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/24266",""
"62","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA24264","VMSA-2024-0004:VMware Aria Operations updates address local privilege escalation vulnerability (CVE-2024-22235)","MEDIUM","6.7","08 May 2024","CVE-2024-22235CVE-2024-22235 CVE-2024-22235 CVE-2024-22235 CVE-2024-22235 CVE-2024-22235 CVE-2024-22235 CVE-2024-22235 CVE-2024-22235 CVE-2024-22235 CVE-2024-22235 CVE-2024-22235 CVE-2024-22235 CVE-2024-22235","","VMware Cloud Foundation (VMware Aria Operations) | 5.x | Any | CVE-2024-22235 | 6.7 | moderate | KB92148 | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/24264",""
"63","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA23680","VMSA-2024-0001:VMware Aria Automation (formerly vRealize Automation) updates address a Missing Access Control vulnerability","CRITICAL","","14 January 2024","CVE-2023-34063","","VMware Cloud Foundation (Aria Automation) | 5.x, 4.x | Any | CVE-2023-34063 | 9.9 | critical | KB96136 | N/A | FAQ","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23680",""
"64","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA23677","VMSA-2023-0023:VMware vCenter Server updates address out-of-bounds write and information disclosure vulnerabilities","CRITICAL","","23 October 2023","CVE-2023-34048; CVE-2023-34056","","VMware Cloud Foundation (VMware vCenter Server) | 5.x, 4.x | Any | CVE-2023-34048, CVE-2023-34056 | 9.8, 4.3 | critical | KB88287 | None | FAQ","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23677",""
"65","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA23666","VMSA-2023-0021:VMware Aria Operations for Logs updates address multiple vulnerabilities.","HIGH","","17 October 2023","CVE-2023-34051; CVE-2023-34052","","VMware Cloud Foundation (VMware Aria Operations for Logs) | 5.x, 4.x | Any | CVE-2023-34051, CVE-2023-34052 | 8.1 | important | KB95212 | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23666",""
"66","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA23665","VMSA-2023-0020:VMware Aria Operations updates address local privilege escalation vulnerability.","MEDIUM","","24 September 2023","CVE-2023-34043","","VMware Cloud Foundation (VMware Aria Operations) | 5.x | Any | CVE-2023-34043 | 6.7 | moderate | KB92148 | N/A | N/A","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23665",""
"67","VMware Cloud Foundation / vSphere Foundation (reference - 5.x / 9.x only)","VCF/VVF","Reference only (not tied to a detected build)","VCDSA23660","VMSA-2023-0014:VMware vCenter Server updates address multiple memory corruption vulnerabilities","HIGH","","20 June 2023","CVE-2023-20892; CVE-2023-20893; CVE-2023-20894; CVE-2023-20895; CVE-2023-20896","","Cloud Foundation (vCenter Server) | 5.x | Any | CVE-2023-20892 CVE-2023-20893 CVE-2023-20894 CVE-2023-20895 | 8.1 | important | 8.0 U1b | None | KB88287 <br> Cloud Foundation (vCenter Server) | 5.x | Any | CVE-2023-20896 | 5.9 | moderate | 8.0 U1b | None | KB88287","","https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/23660",""
